MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnsweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus,Churn
30.88,436,30,0.25,1,0,-112,0.1,11,0.3,20,11.3,0,136.3,24.3,7,158,94.7,11.3,0,2.3,20,1,1,APCFCH703,4,1,298,58,58,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,8,No,0,150,No,2-High,Other,Other,Yes,Yes
44.83,172,45,0,0,0,-12,-15.5,0.3,0.3,3.7,0,0,23.1,6,2.3,31.3,21.3,0.7,0,0,22,1,1,LOULEX606,2,1,659,28,0,No,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,No,No,0,7,No,0,80,No,2-High,Suburban,Other,No,No
42.63,838,50,0.74,5,0,28,-2.6,4.7,6.3,62,7.3,0,198.5,36,10,113.7,118.3,11,0,3.3,7,1,1,OMAOMA402,2,1,182,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,130,No,5-Low,Suburban,Other,?,No
33.49,358,50,0,0,0,-16,0,1,4,10,0,0,127.5,32.7,30,90.7,95.7,5,0,0.7,22,4,4,NSHNSH615,2,2,11,52,50,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,8,No,0,150,No,2-High,Town,Other,Yes,No
60.94,1276,60,4.7,0,0,-188,0.2,5.7,19.7,49.7,22,0,134.8,218.7,9,214.7,204.7,25.3,0,2.3,18,2,2,DALDAL214,2,2,257,0,0,No,Yes,Yes,No,No,?,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,30,No,5-Low,Other,Other,?,No
42.09,410,55,0,12,0,-190,2.9,2.3,0.3,8,0,0.7,0,1,0,25,10.7,2.7,0,0,7,1,1,HARBRI203,1,1,199,58,54,No,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,5,No,0,?,No,2-High,Suburban,Professiol,Yes,No
57.72,514,55,2.72,0,0,-8,3.6,0.3,2.3,5.3,0.3,0,28.5,7.7,4.7,27,16.7,2.7,0,0,34,1,1,SAUS512,5,4,78,24,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,6,No,0,100,No,6-VeryLow,Suburban,Other,?,No
22.98,163,22,0,0,0.5,-6,-21.1,5,0,4.3,0,0,19,3,0,38.3,50,5,0,0.3,25,1,1,HARNOR203,2,2,20,34,36,Yes,No,No,No,No,Known,No,No,No,No,No,Yes,1,0,No,No,0,3,No,0,10,Yes,2-High,Other,Other,Yes,Yes
56.8,538,40,0.99,73,0,244,50.5,7,4.3,39.7,0,0.3,154.2,27.7,9.7,140.7,189,11.3,0,5.7,11,3,3,KCYKCK913,1,1,333,44,58,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,6,No,0,?,No,2-High,Suburban,Professiol,Yes,Yes
64.98,529,60,1.24,0,0,-74,-14,3.7,1,9.3,5,0,73.6,14,4.7,98,70.3,4.7,0,1.7,20,1,1,DALDAL214,3,3,188,38,36,Yes,Yes,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,150,No,3-Good,Suburban,Other,Yes,No
52.02,1431,50,0.74,28,0,296,6.8,12,2,115.7,5,3,207.7,87.3,13,176.3,240.3,14,0,5.7,9,1,1,SFROAK510,1,1,257,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,3-Good,Other,Other,?,No
53.63,396,50,0,0,0,59,-0.6,4.7,0.3,28.7,0,0.3,83.5,51,15.7,95.7,27,5,0,0.3,16,2,2,SFRSFR415,1,1,491,26,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,6,No,0,?,No,3-Good,Other,Other,No,No
11.69,352,10,0,7,0,-37,-1.7,6.7,1.7,10.7,0,0,129.5,48.7,30,66.3,75,8.3,0,0.3,18,2,2,DENBOU303,2,2,348,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,30,No,3-Good,Town,Other,?,Yes
34.74,239,32,2.72,0,1.1,15,-1.5,2,1.7,7.7,0,0,78.5,22,9.7,59,44,3.7,0,1.3,35,2,2,SANGEO512,2,2,617,44,40,No,No,Yes,Yes,Yes,Known,No,Yes,No,No,Yes,No,0,0,No,Yes,0,9,No,0,30,No,1-Highest,Suburban,Other,?,No
92.3,401,38,0.74,154,0,-57,-51.3,4.3,0,0.7,0.7,0,41.2,20.3,5.3,65.3,24,4.3,0,0,20,2,2,NYCMAN917,2,2,477,32,0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,1,1,No,0,10,No,4-Medium,Other,Other,?,No
39.21,320,40,2.48,36,0,150,21.5,2,2.3,7.7,0,0.7,64,6,1.7,60.7,35.3,4.3,0,0,12,1,1,HOUHOU281,1,1,357,30,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,?,No,2-High,Suburban,Other,?,Yes
84.13,1556,45,0.74,138,0.1,321,82.8,8.7,8,112.7,7.3,2.3,489,215.7,81,159,450.3,16.7,0,13.7,14,3,2,HOUHOU281,4,3,94,0,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,0,No,0,150,No,1-Highest,Other,Other,?,Yes
38.3,407,40,0,24,0,-15,-8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,SANKIL254,1,1,365,30,30,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,1,5,No,0,?,No,2-High,Town,Other,Yes,Yes
35.83,217,45,0,2,0,41,-0.8,0.7,11.7,11.3,0,0,47.7,12.3,3.3,56.7,45,12.3,0,0,14,2,2,CHIRCK815,3,3,192,38,38,Yes,Yes,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,Yes,No,0,7,No,0,80,No,2-High,Suburban,Crafts,Yes,No
85.93,292,44,0,6,2.1,-114,-45.5,2,39.7,19.3,0.3,2,65.7,4.7,2.7,111,43.3,41.7,0,0,24,3,1,CHILAG708,2,2,321,36,36,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,7,No,0,30,No,1-Highest,Suburban,Other,Yes,No
119.34,1014,102,1.98,9,0,-51,21.7,9.3,2,33.7,3.3,0.7,191,27.3,11.3,113.7,66.3,11.3,0,0.3,24,1,1,NYCNEW201,2,2,463,34,68,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,4,No,0,30,No,2-High,Suburban,Professiol,No,No
56.3,128,30,0.5,85,1.8,-4,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,NEVPOW619,1,1,439,74,68,No,No,Yes,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,No,No,0,4,No,0,?,No,2-High,Suburban,Professiol,Yes,Yes
34.99,1007,45,0,0,0,-72,0,4.7,0,32.7,0.7,0,304.2,91,35.7,69.7,140.3,4.7,0,7,12,1,1,NYCPAS973,1,1,361,32,0,No,No,Yes,No,No,?,No,No,No,No,No,No,0,0,No,No,0,5,No,0,?,No,2-High,Other,Other,?,No
35.52,170,30,0.25,2,4.1,24,1.2,2,0,7.7,0,0.3,13.7,4,0,36,24.3,2,0,0,16,1,1,NNYBUF716,1,1,497,46,40,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,5,No,0,?,No,2-High,Other,Other,?,No
35.48,242,45,0.5,0,0,46,-0.5,3.3,3.7,22,1,0,34.9,6,11,56.7,9.3,7,0,0,13,1,1,FLNORL407,1,1,371,40,36,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,?,No,2-High,Suburban,Other,Yes,No
