MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnsweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,RetentionCalls,RetentionOffersAccepted,ReferralsMadeBySubscriber,IncomeGroup,AdjustmentsToCreditRating,HandsetPrice,ServiceArea_frequency,ChildrenInHH_frequency,HandsetRefurbished_frequency,HandsetWebCapable_frequency,TruckOwner_frequency,RVOwner_frequency,Homeownership_frequency,BuysViaMailOrder_frequency,RespondsToMailOffers_frequency,OptOutMailings_frequency,NonUSTravel_frequency,OwnsComputer_frequency,HasCreditCard_frequency,NewCellphoneUser_frequency,NotNewCellphoneUser_frequency,OwnsMotorcycle_frequency,MadeCallToRetentionTeam_frequency,CreditRating_frequency,PrizmCode_frequency,Occupation_frequency,MaritalStatus_frequency,Churn
30.88,436.0,30.0,0.25,1.0,0.0,-112.0,0.1,11.0,0.3,20.0,11.3,0.0,136.3,24.3,7.0,158.0,94.7,11.3,0.0,2.3,20.0,1.0,1.0,4.0,1.0,298.0,58.0,58.0,0.0,0.0,0.0,8.0,0.0,150.0,0.018190371648110396,0.761128526645768,0.8642633228840125,0.9,0.8120689655172414,0.9175548589341693,1.0,0.3576802507836991,0.37460815047021945,0.9847962382445141,0.9443573667711599,0.8155172413793104,0.6730407523510972,0.8012539184952978,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.36191222570532916,0.48322884012539186,0.7445141065830722,0.6003043367993913,1
44.83,172.0,45.0,0.0,0.0,0.0,-12.0,-15.5,0.3,0.3,3.7,0.0,0.0,23.1,6.0,2.3,31.3,21.3,0.7,0.0,0.0,22.0,1.0,1.0,2.0,1.0,659.0,28.0,0.0,0.0,0.0,0.0,7.0,0.0,80.0,0.0014113219382154618,0.761128526645768,0.8642633228840125,0.9,0.1879310344827586,0.08244514106583072,1.0,0.642319749216301,0.6253918495297806,0.9847962382445141,0.9443573667711599,0.8155172413793104,0.6730407523510972,0.8012539184952978,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.36191222570532916,0.32225705329153603,0.7445141065830722,0.3996956632006087,0
42.63,838.0,50.0,0.74,5.0,0.0,28.0,-2.6,4.7,6.3,62.0,7.3,0.0,198.5,36.0,10.0,113.7,118.3,11.0,0.0,3.3,7.0,1.0,1.0,2.0,1.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.004547592912027599,0.761128526645768,0.8642633228840125,0.9,0.8120689655172414,0.9175548589341693,1.0,0.642319749216301,0.6253918495297806,0.9847962382445141,0.9443573667711599,0.8155172413793104,0.32695924764890283,0.8012539184952978,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.13401253918495298,0.32225705329153603,0.7445141065830722,0.39058368055698645,0
33.49,358.0,50.0,0.0,0.0,0.0,-16.0,0.0,1.0,4.0,10.0,0.0,0.0,127.5,32.7,30.0,90.7,95.7,5.0,0.0,0.7,22.0,4.0,4.0,2.0,2.0,11.0,52.0,50.0,0.0,0.0,0.0,8.0,0.0,150.0,0.007370236788458523,0.23887147335423198,0.8642633228840125,0.9,0.8120689655172414,0.9175548589341693,1.0,0.3576802507836991,0.37460815047021945,0.9847962382445141,0.9443573667711599,0.18448275862068966,0.6730407523510972,0.8012539184952978,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.36191222570532916,0.15031347962382446,0.7445141065830722,0.6003043367993913,0
60.94,1276.0,60.0,4.7,0.0,0.0,-188.0,0.2,5.7,19.7,49.7,22.0,0.0,134.8,218.7,9.0,214.7,204.7,25.3,0.0,2.3,18.0,2.0,2.0,2.0,2.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.029951387799905912,0.761128526645768,0.13573667711598747,0.9,0.8120689655172414,0.9175548589341693,1.0,0.642319749216301,0.6253918495297806,0.9847962382445141,0.9443573667711599,0.8155172413793104,0.32695924764890283,0.1987460815047022,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.13401253918495298,0.48322884012539186,0.7445141065830722,0.36552933799862314,0
42.09,410.0,55.0,0.0,12.0,0.0,-190.0,2.9,2.3,0.3,8.0,0.0,0.7,0.0,1.0,0.0,25.0,10.7,2.7,0.0,0.0,7.0,1.0,1.0,1.0,1.0,199.0,58.0,54.0,0.0,0.0,0.0,5.0,0.0,98.54336891400317,0.0018817625842872823,0.761128526645768,0.8642633228840125,0.9,0.8120689655172414,0.9175548589341693,1.0,0.642319749216301,0.6253918495297806,0.9847962382445141,0.9443573667711599,0.18448275862068966,0.6730407523510972,0.8012539184952978,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.36191222570532916,0.32225705329153603,0.16630094043887148,0.6003043367993913,0
57.72,514.0,55.0,2.72,0.0,0.0,-8.0,3.6,0.3,2.3,5.3,0.3,0.0,28.5,7.7,4.7,27.0,16.7,2.7,0.0,0.0,34.0,1.0,1.0,5.0,4.0,78.0,24.0,0.0,0.0,0.0,0.0,6.0,0.0,100.0,0.013172338090010977,0.761128526645768,0.8642633228840125,0.9,0.8120689655172414,0.9175548589341693,1.0,0.642319749216301,0.6253918495297806,0.9847962382445141,0.9443573667711599,0.8155172413793104,0.6730407523510972,0.1987460815047022,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.021786833855799374,0.32225705329153603,0.7445141065830722,0.438359266232337,0
22.98,163.0,22.0,0.0,0.0,0.5,-6.0,-21.1,5.0,0.0,4.3,0.0,0.0,19.0,3.0,0.0,38.3,50.0,5.0,0.0,0.3,25.0,1.0,1.0,2.0,2.0,20.0,34.0,36.0,1.0,0.0,0.0,3.0,0.0,10.0,0.004704406460718206,0.23887147335423198,0.8642633228840125,0.1,0.8120689655172414,0.9175548589341693,1.0,0.642319749216301,0.6253918495297806,0.9847962382445141,0.9443573667711599,0.8155172413793104,0.6730407523510972,0.8012539184952978,0.8630094043887148,0.9862068965517241,0.034169278996865206,0.36191222570532916,0.48322884012539186,0.7445141065830722,0.6003043367993913,1
56.8,538.0,40.0,0.99,73.0,0.0,244.0,50.5,7.0,4.3,39.7,0.0,0.3,154.2,27.7,9.7,140.7,189.0,11.3,0.0,5.7,11.0,3.0,3.0,1.0,1.0,333.0,44.0,58.0,0.0,0.0,0.0,6.0,0.0,81.02184824077885,0.006115728398933668,0.23887147335423198,0.8642633228840125,0.9,0.8120689655172414,0.9175548589341693,1.0,0.3576802507836991,0.37460815047021945,0.9847962382445141,0.9443573667711599,0.18448275862068966,0.6730407523510972,0.8012539184952978,0.13699059561128527,0.9862068965517241,0.9658307210031348,0.36191222570532916,0.32225705329153603,0.16630094043887148,0.6003043367993913,1
64.98,529.0,60.0,1.24,0.0,0.0,-74.0,-14.0,3.7,1.0,9.3,5.0,0.0,73.6,14.0,4.7,98.0,70.3,4.7,0.0,1.7,20.0,1.0,1.0,3.0,3.0,188.0,38.0,36.0,0.0,0.0,0.0,6.0,0.0,150.0,0.029951387799905912,0.23887147335423198,0.13573667711598747,0.9,0.8120689655172414,0.9175548589341693,1.0,0.3576802507836991,0.37460815047021945,0.9847962382445141,0.9443573667711599,0.8155172413793104,0.6730407523510972,0.8012539184952978,0.8630094043887148,0.9862068965517241,0.9658307210031348,0.17131661442006269,0.32225705329153603,0.7445141065830722,0.6003043367993913,0
